                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                  2.215,                0.04598,                0.04121,                 1.6416,                 1.2251,                0.56786,                0.52366,                 0.5314,                0.17605,                0.66003,                0.56541,                0.66625,                0.66441,                 2.2288,                0.04296,                 0.0027,                 1.6153,                 1.2754,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.1843,                0.04593,                 0.0332,                 1.6008,                 1.2183,                0.56781,                0.45834,                0.47235,                 0.1744,                 0.7252,                0.48811,                0.56879,                0.56621,                 2.2659,                 0.0571,                0.00451,                 1.9814,                 1.3254,               0.000911,               0.000911,               0.000911
                     58,                 2.1936,                0.04426,                0.04065,                 1.6069,                 1.2061,                0.66032,                0.51729,                0.56862,                0.20148,                0.76314,                0.56391,                0.68245,                0.68078,                 2.1982,                0.04071,                0.00267,                 1.5828,                  1.272,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.2031,                0.04457,                0.04285,                 1.5771,                 1.2281,                0.68161,                0.54728,                0.60087,                0.19236,                0.76964,                0.61796,                0.72153,                0.71981,                 2.2161,                0.04199,                0.00224,                 1.5911,                 1.2721,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.2094,                0.04577,                0.04816,                 1.6007,                 1.2233,                0.66829,                0.52481,                0.59456,                0.21941,                0.77578,                0.56391,                0.69501,                0.69356,                 2.1389,                0.03982,                 0.0052,                 1.5365,                  1.253,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.1941,                0.04426,                0.04225,                 1.5542,                 1.2237,                0.65583,                 0.5594,                0.59235,                0.19945,                0.75495,                0.60902,                0.71629,                0.71372,                 2.2459,                0.03932,                0.00126,                 1.5267,                 1.2853,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.2029,                0.04286,                 0.0379,                 1.5941,                 1.2315,                0.58259,                0.49925,                0.50157,                0.15347,                0.78405,                0.59398,                0.70828,                0.70685,                 2.2645,                0.04076,                0.00133,                 1.6115,                 1.2818,               0.000812,               0.000812,               0.000812
                     63,                 2.1985,                0.04539,                0.04008,                 1.5776,                 1.2277,                0.68513,                 0.5594,                0.60404,                0.21517,                0.74587,                0.61654,                0.70516,                0.70284,                 2.1834,                0.03996,                0.00257,                 1.5279,                 1.2683,              0.0007922,              0.0007922,              0.0007922
                     64,                  2.174,                0.04316,                0.03969,                 1.5644,                  1.212,                0.67142,                0.57744,                0.62952,                0.22632,                0.74819,                0.60766,                0.71506,                0.71309,                 2.1711,                0.04009,                0.00196,                 1.4918,                 1.2629,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.1454,                0.04202,                0.04013,                 1.5536,                 1.2062,                0.69735,                0.57517,                0.61745,                0.23078,                0.77001,                0.63759,                0.71947,                0.71787,                 2.1846,                0.03971,                0.00318,                 1.5592,                 1.2678,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.1418,                0.04305,                0.03482,                 1.5461,                 1.2019,                0.74038,                0.53985,                0.62779,                0.22972,                0.80531,                0.59398,                0.72023,                0.71802,                  2.178,                0.03855,                0.00145,                 1.4625,                 1.2629,              0.0007328,              0.0007328,              0.0007328
                     67,                  2.188,                0.04233,                0.04412,                 1.5301,                 1.2204,                0.70723,                 0.5609,                0.62472,                0.22137,                0.77738,                0.61654,                0.73131,                0.72906,                 2.2637,                0.04286,                0.00379,                 1.4854,                 1.2948,               0.000713,               0.000713,               0.000713
                     68,                 2.1678,                0.04115,                0.03912,                 1.5364,                 1.2202,                0.66444,                0.58647,                0.61722,                0.21867,                0.76237,                0.63759,                0.73017,                0.72799,                 2.1876,                0.03909,                0.00167,                 1.4815,                 1.2633,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.1637,                0.04227,                0.03933,                 1.5503,                 1.2023,                0.66507,                0.54345,                0.60506,                0.21574,                  0.763,                0.59398,                0.70029,                0.69826,                 2.1529,                0.03938,                0.00148,                 1.5164,                 1.2552,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.1421,                0.04073,                0.03558,                 1.5499,                 1.2055,                0.71083,                0.56692,                0.61302,                0.21109,                0.81404,                0.63853,                0.73785,                0.73573,                 2.2118,                0.03903,                0.00096,                 1.5264,                 1.2634,              0.0006536,              0.0006536,              0.0006536
                     71,                 2.1839,                0.04444,                0.04157,                 1.5736,                  1.191,                 0.6971,                0.54887,                0.61117,                0.22243,                0.78065,                0.61546,                 0.7257,                 0.7238,                 2.1653,                0.03816,                0.00122,                 1.5042,                 1.2505,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.1357,                0.04281,                0.03231,                 1.5269,                 1.1996,                0.69067,                0.55789,                0.61077,                0.20876,                0.78748,                0.63609,                0.73532,                0.73325,                 2.1949,                 0.0399,                0.00116,                 1.5212,                 1.2579,               0.000614,               0.000614,               0.000614
                     73,                 2.1475,                0.04184,                0.03493,                 1.5211,                 1.2019,                0.68261,                0.56541,                 0.6327,                0.22926,                0.77966,                0.60301,                0.72799,                 0.7263,                 2.1694,                0.03778,                0.00102,                 1.4738,                 1.2488,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.1536,                0.04064,                0.04113,                 1.5142,                 1.1963,                0.72133,                0.53327,                0.61971,                0.22288,                0.80557,                0.60902,                0.72021,                0.71777,                 2.1631,                0.03965,                0.00134,                 1.5009,                 1.2449,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.1553,                0.03986,                0.03601,                 1.5366,                 1.2038,                0.69445,                0.55708,                0.59857,                0.19952,                0.78128,                0.63308,                0.72154,                0.71993,                 2.2306,                0.03911,                0.00086,                 1.5139,                  1.269,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.1369,                0.04275,                 0.0361,                 1.5124,                 1.1694,                0.68926,                0.59248,                0.63091,                0.22319,                0.76208,                0.65508,                0.73227,                 0.7305,                 2.1586,                0.03649,                0.00151,                 1.4676,                 1.2452,              0.0005348,              0.0005348,              0.0005348
                     77,                 2.1521,                0.04282,                0.03574,                 1.5253,                 1.2022,                0.67733,                0.57143,                0.61877,                0.22421,                0.75537,                0.63609,                0.72357,                0.72158,                 2.1302,                0.03681,                0.00087,                 1.4835,                 1.2332,               0.000515,               0.000515,               0.000515
                     78,                 2.1107,                0.04164,                0.04096,                 1.4985,                  1.174,                0.71729,                0.58647,                0.64617,                0.22874,                0.79822,                0.65263,                0.74607,                0.74456,                 2.1291,                0.03684,                0.00122,                 1.4915,                 1.2324,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.1103,                0.03874,                0.03489,                 1.5324,                 1.1843,                0.71021,                0.56541,                0.62305,                0.21925,                0.79117,                0.63808,                0.73325,                0.73081,                 2.1691,                0.03795,                0.00117,                 1.4753,                 1.2424,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.1423,                0.03876,                0.04338,                 1.5042,                 1.1922,                0.72144,                0.61146,                0.65572,                0.23837,                0.77458,                0.66655,                0.75091,                0.74928,                  2.161,                0.03792,                0.00091,                 1.4757,                 1.2401,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.1478,                0.03943,                0.03401,                 1.5345,                 1.1947,                0.71166,                0.56992,                0.62398,                0.21016,                0.79156,                0.64511,                0.73839,                0.73577,                 2.1362,                0.03474,                0.00078,                 1.4907,                 1.2303,              0.0004358,              0.0004358,              0.0004358
                     82,                 2.1091,                 0.0398,                0.03533,                 1.4711,                 1.1825,                0.70446,                0.58647,                 0.6335,                0.22278,                0.78897,                0.65779,                0.74478,                0.74304,                 2.1535,                  0.036,                0.00059,                 1.4773,                 1.2369,               0.000416,               0.000416,               0.000416
